Grafica,Contratista,PV,PV%,AC,AC%,CPI,SPI,TCPI,VAC($),VAC(%),VAC(t),Duracion Estimada
Flujo Economico,,,,,,,,,,,,
Estado de cuenta,,,,,,,,,,,,
Curva S,,,,,,,,,,,,
Avance por semana,,,,,,,,,,,,
Estimaciones,,,,,,,,,,,,
